word,current_avatar,upstream_sigml_filename_match
IN,fingerspelling,yes_unreviewed
INBOX,fingerspelling,no
INCREASE,fingerspelling,yes_unreviewed
INDIA,fingerspelling,no
INDIGESTION,fingerspelling,no
INDUSTRY,fingerspelling,no
INFORMATION,fingerspelling,no
INITIALIZING,fingerspelling,no
INITIATE,fingerspelling,no
INPUT,fingerspelling,no
INSIGHTS,fingerspelling,no
INSTANT,fingerspelling,no
INSTRUCTIONS,fingerspelling,no
INSURANCE,fingerspelling,no
INTAKE,fingerspelling,no
INTAKES,fingerspelling,no
INTEGRATION,fingerspelling,no
INTELLIGENCE,fingerspelling,no
INTERACTING,fingerspelling,no
INTERACTION,fingerspelling,no
INTERACTIVE,fingerspelling,no
INTERFACE,fingerspelling,no
INTO,fingerspelling,no
INVESTIGATION,fingerspelling,no
INVESTIGATIONS,fingerspelling,no
IS,fingerspelling,no
IT,fingerspelling,no
JOIN,fingerspelling,yes_unreviewed
JOINT,fingerspelling,no
JOURNEY,fingerspelling,no
JPEG,fingerspelling,no
JPG,fingerspelling,no
KEEP,fingerspelling,yes_unreviewed
KIOSK,fingerspelling,no
KNOWN,fingerspelling,no
LAB,fingerspelling,no
LABORATORY,fingerspelling,yes_unreviewed
LANGUAGE,fingerspelling,no
LARGER,fingerspelling,no
LAST,fingerspelling,no
LATEST,fingerspelling,no
LEARN,fingerspelling,yes_unreviewed
LEAVE,fingerspelling,yes_unreviewed
LIKE,fingerspelling,yes_unreviewed
LINK,fingerspelling,yes_unreviewed
LINKED,fingerspelling,no
LINKING,fingerspelling,no
LIST,fingerspelling,yes_unreviewed
LISTENING,fingerspelling,no
LIVE,fingerspelling,no
LOAD,fingerspelling,no
LOADING,fingerspelling,no
LOCATION,fingerspelling,no
LOG,fingerspelling,no
LOGGED,fingerspelling,no
LOGS,fingerspelling,no
LONGITUDINAL,fingerspelling,no
MAILBOX,fingerspelling,no
MAIN,fingerspelling,no
MALE,fingerspelling,no
MANAGE,fingerspelling,no
MANAGEMENT,fingerspelling,no
MANAGER,fingerspelling,no
MATCH,fingerspelling,no
MATCHING,fingerspelling,no
MATTERS,fingerspelling,no
MEAN,fingerspelling,no
MEANS,fingerspelling,no
MEDICAL,fingerspelling,no
MEDICATION,fingerspelling,no
MEDICATIONS,fingerspelling,no
MEDICINE,fingerspelling,no
MEDICINES,fingerspelling,no
MEDIKIOSK,fingerspelling,no
MESSAGE,fingerspelling,no
MESSAGES,fingerspelling,no
MG,fingerspelling,no
MICROPHONE,fingerspelling,no
MINUTES,fingerspelling,no
MOBILE,fingerspelling,no
MODE,fingerspelling,no
MOMENT,fingerspelling,no
MON,fingerspelling,no
MONTH,fingerspelling,no
MONTHLY,fingerspelling,no
MONTHS,fingerspelling,no
